-0.99	0	0	2.2
-0.97	0	0	2.15
-0.95	0	0	2.3
-0.93	0	0	2.05
-0.91	0	0	1.55
-0.89	0	0	2.4
-0.87	0	0	1.5
-0.85	0	0	1.65
-0.83	0	0	2.1
-0.81	0	0	2.2
-0.79	0	0	2
-0.77	0	0	1.95
-0.75	0	0	1.85
-0.73	0	0	2
-0.71	0	0	1.65
-0.69	0	0	1.85
-0.67	0	0	2.3
-0.65	0	0	1.75
-0.63	0	0	1.8
-0.61	0	0	1.4
-0.59	0	0	1.95
-0.57	0	0	1.9
-0.55	0	0	1.75
-0.53	0	0	1.95
-0.51	0	0	1.8
-0.49	0	0	2
-0.47	0	0	2.15
-0.45	0	0	2.2
-0.43	0	0	1.95
-0.41	0	0	1.55
-0.39	0	0	1.9
-0.37	0	0	2.4
-0.35	0	0	2.05
-0.33	0	0	1.95
-0.31	0	0	1.65
-0.29	0	0	1.75
-0.27	0	0	1.9
-0.25	0	0	1.95
-0.23	0	0	2
-0.21	0	0	1.85
-0.19	0	0	1.6
-0.17	0	0	2.05
-0.15	0	0	1.35
-0.13	0	0	2
-0.11	0	0	1.65
-0.09	0	0	2
-0.07	0	0	1.8
-0.05	0	0	2
-0.03	0	0	1.9
-0.01	0	0	1.85
0.01	0	0	2
0.03	0	0	1.25
0.05	0	0	1.95
0.07	0	0	1.9
0.09	0	0	1.95
0.11	0	0	1.9
0.13	0	0	1.85
0.15	0	0	1.9
0.17	0	0	1.7
0.19	0	0	2.35
0.21	0	0	1.35
0.23	0	0	2.25
0.25	0	0	1.65
0.27	0	0	1.4
0.29	0	0	2.05
0.31	0	0	1.9
0.33	0	0	1.7
0.35	0	0	1.8
0.37	0	0	1.85
0.39	0	0	2.1
0.41	0	0	1.8
0.43	0	0	1.8
0.45	0	0	2.2
0.47	0	0	2.1
0.49	0	0	1.9
0.51	0	0	1.7
0.53	0	0	2.4
0.55	0	0	1.9
0.57	0	0	1.55
0.59	0	0	2.1
0.61	0	0	1.9
0.63	0	0	1.85
0.65	0	0	1.95
0.67	0	0	2.15
0.69	0	0	1.95
0.71	0	0	1.85
0.73	0	0	2.15
0.75	0	0	2
0.77	0	0	1.8
0.79	0	0	1.35
0.81	0	0	2
0.83	0	0	1.6
0.85	0	0	1.2
0.87	0	0	1.5
0.89	0	0	1.9
0.91	0	0	1.7
0.93	0	0	2
0.95	0	0	2
0.97	0	0	2.05
0.99	0	0	1.7
